source_ward_id,source_state,source_lga,source_ward,inec_ward_code,confidence,reason,action
AKSPNG09,Akwa Ibom,Ibeno,Iwuopom Opolom,,0.286,no_ward,skipped_no_match
AKSPNG10,Akwa Ibom,Ibeno,Iwuoachang,,0.235,no_ward,skipped_no_match
AKSBYF04,Akwa Ibom,Udung Uko,Eyobiosio,,0.190,no_ward,skipped_no_match
AKSKRT05,Akwa Ibom,Eastern Obolo,Okoro Ete,,0.333,no_ward,skipped_no_match
RVSNDN10,Rivers,Andoni,Ataba 2,RI-05-10,0.857,needs_review,loaded
CRSANA09,Cross River,Calabar South,Ward 9,,0.286,no_ward,skipped_no_match
CRSANA08,Cross River,Calabar South,Ward 8,,0.250,no_ward,skipped_no_match
CRSANA05,Cross River,Calabar South,Ward 5,,0.286,no_ward,skipped_no_match
CRSANA04,Cross River,Calabar South,Ward 4,,0.286,no_ward,skipped_no_match
CRSANA02,Cross River,Calabar South,Ward 2,,0.333,no_ward,skipped_no_match
BNSMKD04,Benue,Makurdi,Central / South Mission,BE-13-04,1.000,exact,loaded
ANSAWK11,Anambra,Awka South,Awka V 3 / Agu Oka,,0.609,no_ward,skipped_no_match
OSSOSO13,Osun,Osogbo,Jagun 3 / Otun Hagun B,,0.588,no_ward,skipped_no_match
ANSJJT11,Anambra,Idemili South,Oba 3 / Nnobi 1,,0.600,no_ward,skipped_no_match
OSSOSO12,Osun,Osogbo,Jagun 2 / B,OS-30-10,0.875,needs_review,loaded
ANSNSH08,Anambra,Onitsha North,Army Barracks / Inland Town 2,,0.600,no_ward,skipped_no_match
OYSOLE07,Oyo,Orelope,Molete,,0.404,no_ward,skipped_no_match
CRSCAL07,Cross River,Calabar Municipal,Ikot Ishie / Six,,0.300,no_ward,skipped_no_match
OYSISW10,Oyo,Ibadan South West,Oritamerin / Ward 12 SW9 2,,0.500,no_ward,skipped_no_match
OYSISW01,Oyo,Ibadan South West,Agbokojo / Ward 11 SW9,,0.522,no_ward,skipped_no_match
CRSCAL02,Cross River,Calabar Municipal,Edim Otop / Two,,0.319,no_ward,skipped_no_match
OSSOSO01,Osun,Osogbo,Akepe / Eketa,,0.625,no_ward,skipped_no_match
ANSNSH14,Anambra,Onitsha North,Water Works / Water-side Central 2,,0.731,no_ward,skipped_no_match
NISBDA09,Niger,Bida,Masaga B / Masaga  2,,0.560,no_ward,skipped_no_match
NASKEF01,Nasarawa,Keffi,Angwan-Rimi,NA-06-07,0.842,needs_review,loaded
OGSABS11,Ogun,Abeokuta South,Iporo / Sodeke / Sale-Ijeun 1,OG-02-10,0.818,needs_review,loaded
ANSFGG06,Anambra,Onitsha South,Fegge 3,AN-18-04,0.857,needs_review,loaded
OGSABS06,Ogun,Abeokuta South,Ibara 2,OG-02-14,0.857,needs_review,loaded
OGSABS10,Ogun,Abeokuta South,Ijeun Titun / Ago-Egun / Ijesa,,0.700,no_ward,skipped_no_match
OGSABS14,Ogun,Abeokuta South,Kuto / Imo / Isabo,OG-02-12,0.783,needs_review,skipped_low_confidence
ABSGWB13,Abia,Ugwunagbo,Umuarukwu / Ward Six,,0.375,no_ward,skipped_no_match
ANSNSH13,Anambra,Onitsha North,Umudei / Inland Town 1,,0.727,no_ward,skipped_no_match
ANSNSH12,Anambra,Onitsha North,Umuaselle / Inland Town 3,,0.667,no_ward,skipped_no_match
NISBDA06,Niger,Bida,Masaba A / Masaga 1,,0.560,no_ward,skipped_no_match
CRSCAL09,Cross River,Calabar Municipal,Kasuk / Seven,,0.531,no_ward,skipped_no_match
OSSOSO15,Osun,Osogbo,Popo / Otun Jagun 'A',OS-30-12,0.828,needs_review,loaded
ANSNSH03,Anambra,Onitsha North,Emmanuel Church / Inland Town 6,,0.571,no_ward,skipped_no_match
ANSZBL11,Anambra,Ekwusigo,Orumba / Ozubulu  1,,0.640,no_ward,skipped_no_match
NISBDA12,Niger,Bida,Umaru Majagi A / Umaru Majigi  1,,0.605,no_ward,skipped_no_match
CRSCAL10,Cross River,Calabar Municipal,Big Qua / Four,,0.425,no_ward,skipped_no_match
DTSAYB08,Delta,Ika North East,Owa-Alero / Owa 2,,0.400,no_ward,skipped_no_match
DTSAYB10,Delta,Ika North East,Owanta / Owa  5,,0.471,no_ward,skipped_no_match
DTSAYB03,Delta,Ika North East,Boji-Boji Owa 2 / Owa 4,,0.308,no_ward,skipped_no_match
RVSRGM06,Rivers,Ogba/Egbema/Ndoni,Usomili O / Omoku Town 4,,0.647,no_ward,skipped_no_match
RVSRGM02,Rivers,Ogba/Egbema/Ndoni,Ahiahu / Omuku Town,,0.621,no_ward,skipped_no_match
AKSKET02,Akwa Ibom,Eket,Urban 2,AK-03-01,0.857,needs_review,loaded
OSSIDN11,Osun,Ifelodun,Oke-Iroko / Eesa Ikirun,,0.688,no_ward,skipped_no_match
AKSKTE04,Akwa Ibom,Ikot Ekpene,Ikot Ekpene Urban / Ikot Ekpene 1,,0.591,no_ward,skipped_no_match
AKSKTE10,Akwa Ibom,Ikot Ekpene,Ikot Inyang / Ikot Ekpene 6,,0.632,no_ward,skipped_no_match
AKSKTE02,Akwa Ibom,Ikot Ekpene,Nsiak / Ikot Ekpene 4,AK-14-01,0.750,needs_review,skipped_low_confidence
AKSKTE11,Akwa Ibom,Ikot Ekpene,Uruaobo / Ikot Ekpene 5,,0.706,no_ward,skipped_no_match
OSSION02,Osun,Irepodun,Afolu / Elerin A,,0.727,no_ward,skipped_no_match
OSSION04,Osun,Irepodun,Aromiwe / Olobu D,,0.636,no_ward,skipped_no_match
OSSION05,Osun,Irepodun,Balogun Jagba / Elerin D,,0.533,no_ward,skipped_no_match
OGSABS07,Ogun,Abeokuta South,Igbore / Ago Oba,OG-02-13,1.000,exact,loaded
LASAON03,Lagos,Amuwo Odofin,Agboju and Environ,,0.370,no_ward,skipped_no_match
LASSMU05,Lagos,Shomolu,Bashua East and West,,0.362,no_ward,skipped_no_match
ANSHAL17,Anambra,Ihiala,Umuhu / Ubahuezi and Ubahu Ward,,0.286,no_ward,skipped_no_match
OSSIWO02,Osun,Iwo,Gidigbo 2,OS-23-11,0.889,needs_review,loaded
ANSABN17,Anambra,Njikoka,Nimo 3,AN-13-15,0.833,needs_review,loaded
IMSMGD09,Imo,Oru East,Awo 3,,0.471,no_ward,skipped_no_match
ANSABN11,Anambra,Njikoka,Enugu Ukwu 3,AN-13-09,0.880,needs_review,loaded
ANSABN03,Anambra,Njikoka,Abagana 3,AN-13-03,0.889,needs_review,loaded
ANSAWK08,Anambra,Awka South,Awka 3,AN-07-05,0.833,needs_review,loaded
OSSICL04,Osun,Ife Central,Ilare 3,OS-11-01,0.857,needs_review,loaded
OSSICL08,Osun,Ife Central,Iremo 3,OS-11-09,0.857,needs_review,loaded
KWSFUF03,Kwara,Ilorin South,Akanbi 3,KW-07-01,0.875,needs_review,loaded
KN3809,Kano,Tarauni,Unguwa Uku Kauyen Alu,,0.645,no_ward,skipped_no_match
KN1209,Kano,Fagge,Sabon Gari West,KN-12-09,0.966,fuzzy,loaded
ANSNNE05,Anambra,Nnewi North,Otolo 3,AN-14-03,0.857,needs_review,loaded
ANSUKP04,Anambra,Nnewi South,Amichi 3,AN-15-02,0.875,needs_review,loaded
ANSUKP15,Anambra,Nnewi South,Ukpor 3,AN-15-13,0.857,needs_review,loaded
IMSWER12,Imo,Owerri Municipal,Ikenegbu 3,IM-25-03,0.900,fuzzy,loaded
ANSUKP10,Anambra,Nnewi South,Ezinifite 3,AN-15-08,0.909,fuzzy,loaded
ANSFGG03,Anambra,Onitsha South,Bridge Head 3,AN-18-01,0.923,fuzzy,loaded
ABSUMA19,Abia,Umuahia North,Urban 3,,0.545,no_ward,skipped_no_match
ANSNEN09,Anambra,Anaocha,Agulu 3,AN-05-07,0.857,needs_review,loaded
ANSFGG13,Anambra,Onitsha South,Odoakpu 3,AN-18-11,0.889,needs_review,loaded
ANSATN12,Anambra,Ogbaru,Okpoko 3,AN-16-09,0.875,needs_review,loaded
EBSHKW39,Ebonyi,Ohaukwu,Wigbeke 3,EB-12-13,0.889,needs_review,loaded
ANSAWK15,Anambra,Awka South,Nibo 2,AN-07-14,0.833,needs_review,loaded
OYSODS06,Oyo,Ogbomosho South,Ijeru 2,OY-22-05,0.828,needs_review,loaded
ANSABN14,Anambra,Njikoka,Nawfia 2,AN-13-13,0.875,needs_review,loaded
OSSIWO12,Osun,Iwo,Oke Adan 2,OS-23-08,0.900,fuzzy,loaded
ANSABN10,Anambra,Njikoka,Enugu Ukwu 2,AN-13-09,0.880,needs_review,loaded
OSSICL03,Osun,Ife Central,Ilare 2,OS-11-01,0.857,needs_review,loaded
ANSAWK07,Anambra,Awka South,Awka 2,AN-07-05,0.833,needs_review,loaded
ANSAWK02,Anambra,Awka South,Amawbia 2,AN-07-02,0.889,needs_review,loaded
ANSABN06,Anambra,Njikoka,Abba 2,AN-13-01,0.833,needs_review,loaded
EDSUSL09,Edo,Egor,Ogida 2,ED-02-03,0.750,needs_review,skipped_low_confidence
ODSANE04,Ondo,Akoko North East,Ikado 2,ON-01-03,0.857,needs_review,loaded
OSSIWO05,Osun,Iwo,Isale Oba 2,OS-23-01,0.909,fuzzy,loaded
ABSACH02,Abia,Arochukwu,Arochukwu 2,AB-03-05,0.909,fuzzy,loaded
LASEOA12,Lagos,Eti Osa,Ikoyi 2,LA-08-08,0.857,needs_review,loaded
OYSISN03,Oyo,Iseyin,Ekunle 1,OY-16-03,0.875,needs_review,loaded
LASMUN04,Lagos,Mushin,Babalosa 2,LA-16-03,0.889,needs_review,loaded
LASAMO03,Lagos,Alimosho,Abesan 2,,0.348,no_ward,skipped_no_match
OGSIUE11,Ogun,Ijebu Ode,Porogun 2,OG-11-06,0.889,needs_review,loaded
KWSFUF10,Kwara,Ilorin South,Okaka 2,KW-07-09,0.857,needs_review,loaded
KWSFUF07,Kwara,Ilorin South,Balogun Fulani 2,KW-07-06,0.938,fuzzy,loaded
KWSKEY04,Kwara,Ilorin East,Are 2,,0.471,no_ward,skipped_no_match
KWSKEY06,Kwara,Ilorin East,Gambari 2,KW-06-02,0.889,needs_review,loaded
EKSIEN05,Ekiti,Ise/Orun,Odose 2,,0.706,no_ward,skipped_no_match
IMSUMD02,Imo,Isu,Amandugba 2,IM-10-01,0.909,fuzzy,loaded
ANSAJL16,Anambra,Orumba North,Oko 2,AN-19-14,0.800,needs_review,loaded
ABSKPU15,Abia,Isiala-Ngwa North,Ngwaukwu 2,AB-06-04,0.857,needs_review,loaded
IMSAFR12,Imo,Ahiazu-Mbaise,Okirika-Nweke 2,IM-02-07,0.929,fuzzy,loaded
ANSNEN16,Anambra,Anaocha,Neni 2,AN-05-15,0.833,needs_review,loaded
ABSNGK03,Abia,Obi Nwga,Abayi 2,AB-09-01,0.857,needs_review,loaded
ANSJJT03,Anambra,Idemili South,Awka Etiti 2,AN-11-04,0.917,fuzzy,loaded
ANSNNE02,Anambra,Nnewi North,Nnewichi 2,AN-14-01,0.818,needs_review,loaded
IMSMGD02,Imo,Oru East,Akata 2,IM-23-09,0.833,needs_review,loaded
ANSNEN08,Anambra,Anaocha,Agulu 2,AN-05-07,0.857,needs_review,loaded
IMSAWD15,Imo,Orsu,Umuhuokabia 2,IM-22-01,0.880,needs_review,loaded
ANSNEN04,Anambra,Anaocha,Adazi Ani 2,AN-05-01,0.909,fuzzy,loaded
ANSAGU19,Anambra,Aguata,Umuchu 2,AN-01-18,0.875,needs_review,loaded
IMSMGD06,Imo,Oru East,Amiri 2,IM-23-05,0.857,needs_review,loaded
ANSAGU02,Anambra,Aguata,Achina 2,AN-01-01,0.875,needs_review,loaded
ANSFGG16,Anambra,Onitsha South,Odoakpu 6,AN-18-11,0.889,needs_review,loaded
ANSAJL08,Anambra,Orumba North,Nanka 2,AN-19-08,0.857,needs_review,loaded
OYSINW09,Oyo,Ibadan North West,Inalende,,0.316,no_ward,skipped_no_match
ANSAGU17,Anambra,Aguata,Uga 2,AN-01-16,0.800,needs_review,loaded
IMSAFR09,Imo,Ahiazu-Mbaise,Ogbe 2,IM-02-01,0.800,needs_review,loaded
IMSAWD09,Imo,Orsu,Okwuamaraihe 2,IM-22-04,0.897,needs_review,loaded
ABSEZA07,Abia,Aba North,Ogbor 2,AB-01-10,0.857,needs_review,loaded
ANSAGU07,Anambra,Aguata,Ekwulobia 2,AN-01-06,0.909,fuzzy,loaded
IMSAMG07,Imo,Nwangele,Amaigbo 2,,0.552,no_ward,skipped_no_match
ANSNEN01,Anambra,Anaocha,Adazi Enu 2,AN-05-03,0.909,fuzzy,loaded
ANSNEN14,Anambra,Anaocha,Ichida 2,AN-05-13,0.875,needs_review,loaded
IMSWER11,Imo,Owerri Municipal,Ikenegbu 2,IM-25-03,0.900,fuzzy,loaded
IMSNKR08,Imo,Nkwerre,Owerre Nkwoji 2,IM-14-06,0.903,fuzzy,loaded
ANSAGU09,Anambra,Aguata,Ezinifite 2,AN-01-08,0.909,fuzzy,loaded
ANSFGG05,Anambra,Onitsha South,Fegge 2,AN-18-04,0.857,needs_review,loaded
ANSFGG12,Anambra,Onitsha South,Odoakpu 2,AN-18-11,0.889,needs_review,loaded
ANSFGG17,Anambra,Onitsha South,Odoakpu 7,AN-18-11,0.889,needs_review,loaded
ANSUKP03,Anambra,Nnewi South,Amichi 2,AN-15-02,0.875,needs_review,loaded
ANSFGG02,Anambra,Onitsha South,Bridge Head 2,AN-18-01,0.923,fuzzy,loaded
IMSWER02,Imo,Owerri Municipal,Aladinma 2,IM-25-01,0.900,fuzzy,loaded
ANSATN11,Anambra,Ogbaru,Okpoko 2,AN-16-09,0.875,needs_review,loaded
EDSBEN09,Edo,Oredo,Ikpema,,0.571,no_ward,skipped_no_match
ANSNEN02,Anambra,Anaocha,Adazi Nnukwu 2,AN-05-05,0.929,fuzzy,loaded
ABSEZA10,Abia,Aba North,Osusu 2,AB-01-03,0.857,needs_review,loaded
ANSFGG10,Anambra,Onitsha South,Fegge 7,AN-18-04,0.857,needs_review,loaded
ANSNNE04,Anambra,Nnewi North,Otolo 2,AN-14-03,0.857,needs_review,loaded
12503,Borno,Ngala,Gamboru B,BO-25-03,1.000,exact,loaded
ANSUKP14,Anambra,Nnewi South,Ukpor 2,AN-15-13,0.857,needs_review,loaded
12405,Borno,Maiduguri,Gamboru,,0.541,no_ward,skipped_no_match
ANSAGU11,Anambra,Aguata,Igbokwu 2,AN-01-10,0.800,needs_review,loaded
ANSNNE07,Anambra,Nnewi North,Umudim 2,AN-14-06,0.875,needs_review,loaded
ANSFGG15,Anambra,Onitsha South,Odoakpu 5,AN-18-11,0.889,needs_review,loaded
ANSFGG08,Anambra,Onitsha South,Fegge 5,AN-18-04,0.857,needs_review,loaded
ANSGDD06,Anambra,Idemili North,Nkpor Agu 2,,0.667,no_ward,skipped_no_match
ENSNKW06,Enugu,Enugu East,Abakpa 2 / Ugwogo / Federal Housing,,0.410,no_ward,skipped_no_match
OYSIBAN06,Oyo,Ibarapa North,Igangan 4,OY-13-03,0.889,needs_review,loaded
ANSATN13,Anambra,Ogbaru,Okpoko 4,AN-16-09,0.875,needs_review,loaded
IMSWER06,Imo,Owerri Municipal,Azuzi 4,IM-25-05,0.857,needs_review,loaded
ANSAWK04,Anambra,Awka South,Awka 6,AN-07-05,0.833,needs_review,loaded
ANSFGG09,Anambra,Onitsha South,Fegge 6,AN-18-04,0.857,needs_review,loaded
ANSATN15,Anambra,Ogbaru,Okpoko 6,AN-16-09,0.875,needs_review,loaded
ABSUMA20,Abia,Umuahia North,Urban 5,,0.545,no_ward,skipped_no_match
ANSAWK10,Anambra,Awka South,Awka 5,AN-07-05,0.833,needs_review,loaded
LASEOA05,Lagos,Eti Osa,Apese / 6 Extension,,0.419,no_ward,skipped_no_match
41409,Katsina,Funtua,Nasarawa,,0.462,no_ward,skipped_no_match
ANSUKP17,Anambra,Nnewi South,Ukpor 5,AN-15-13,0.857,needs_review,loaded
OSSIWO01,Osun,Iwo,Gidigbo 1,OS-23-11,0.889,needs_review,loaded
OSSILA05,Osun,Ila,Isedo 1,OS-17-04,0.857,needs_review,loaded
ABSUMA15,Abia,Umuahia North,Ugba Urban 4,,0.667,no_ward,skipped_no_match
LASIKA08,Lagos,Ikeja,Ojodu,,0.385,no_ward,skipped_no_match
OSSIWO11,Osun,Iwo,Oke Adan 1,OS-23-08,0.900,fuzzy,loaded
OSSIWO08,Osun,Iwo,Molete 1,OS-23-05,0.875,needs_review,loaded
KWSFUF06,Kwara,Ilorin South,Balogun Fulani 1,KW-07-07,0.970,fuzzy,loaded
ANSAWK01,Anambra,Awka South,Amawbia 1,AN-07-02,0.889,needs_review,loaded
EDSUSL05,Edo,Egor,Uselu 1,ED-02-07,0.857,needs_review,loaded
EDSUSL07,Edo,Egor,Ogida 1,ED-02-03,0.750,needs_review,skipped_low_confidence
ODSANE05,Ondo,Akoko North East,Ilepa 1,ON-01-05,0.857,needs_review,loaded
LASEOA20,Lagos,Eti Osa,Victoria Island,LA-08-01,0.938,fuzzy,loaded
KWSKEY03,Kwara,Ilorin East,Are 1,,0.588,no_ward,skipped_no_match
IMSNKR07,Imo,Nkwerre,Owerre Nkwoji 1,IM-14-06,0.903,fuzzy,loaded
LASEOA11,Lagos,Eti Osa,Ikoyi 1,LA-08-08,0.857,needs_review,loaded
LASSUE21,Lagos,Surulere,Sanusi 1,,0.364,no_ward,skipped_no_match
LASMUN03,Lagos,Mushin,Babalosa 1,LA-16-03,0.889,needs_review,loaded
LASAMO02,Lagos,Alimosho,Abesan 1,,0.348,no_ward,skipped_no_match
KWSFUF09,Kwara,Ilorin South,Okaka 1,KW-07-09,1.000,exact,loaded
KWSKEY12,Kwara,Ilorin East,Zango 1,KW-06-12,0.833,needs_review,loaded
KWSKEY05,Kwara,Ilorin East,Gambari 1,KW-06-02,1.000,exact,loaded
ANSAGU16,Anambra,Aguata,Uga 1,AN-01-16,0.800,needs_review,loaded
IMSRRT15,Imo,Owerri North,Orji 1 and 2,,0.500,no_ward,skipped_no_match
IMSRRT11,Imo,Owerri North,Obibi 1,,0.588,no_ward,skipped_no_match
IMSUMD06,Imo,Isu,Ekwe 1,IM-10-07,0.833,needs_review,loaded
ANSNNE06,Anambra,Nnewi North,Umudim 1,AN-14-06,0.875,needs_review,loaded
ABSABA07,Abia,Aba South,Eziukwu 1 / 2,AB-02-01,0.778,needs_review,skipped_low_confidence
IMSURU10,Imo,Ideato North,Osina 1 and 2,,0.556,no_ward,skipped_no_match
ANSNEN17,Anambra,Anaocha,Nri 1,AN-05-17,0.800,needs_review,loaded
ANSAGU08,Anambra,Aguata,Ezinifite 1,AN-01-08,0.909,fuzzy,loaded
ANSUKP08,Anambra,Nnewi South,Ezinifite 1,AN-15-08,0.909,fuzzy,loaded
ANSNEN03,Anambra,Anaocha,Adazi Ani 1,AN-05-01,0.909,fuzzy,loaded
ANSAGU06,Anambra,Aguata,Ekwulobia 1,AN-01-06,0.909,fuzzy,loaded
IMSRRT04,Imo,Owerri North,Egbu 1 and 2,,0.500,no_ward,skipped_no_match
IMSWER14,Imo,Owerri Municipal,New Owerri 1,IM-25-10,0.917,fuzzy,loaded
ANSATN10,Anambra,Ogbaru,Okpoko 1,AN-16-09,0.875,needs_review,loaded
ANSABN15,Anambra,Njikoka,Nimo 1,AN-13-15,0.833,needs_review,loaded
ANSNEN15,Anambra,Anaocha,Neni 1,AN-05-15,0.833,needs_review,loaded
IMSUMD01,Imo,Isu,Amandugba 1,IM-10-01,0.909,fuzzy,loaded
IMSMGD05,Imo,Oru East,Amiri 1,IM-23-05,0.857,needs_review,loaded
OYSONA11,Oyo,Ona Ara,Oremeji,,0.700,no_ward,skipped_no_match
OYSATA06,Oyo,Atiba,Aremo,OY-03-03,1.000,exact,loaded
IMSNGB13,Imo,Oru West,Ubulu 1 and 2,,0.556,no_ward,skipped_no_match
ANSAJL15,Anambra,Orumba North,Oko 1,AN-19-14,0.800,needs_review,loaded
IMSAFR11,Imo,Ahiazu-Mbaise,Okirika-Nweke 1,IM-02-07,0.929,fuzzy,loaded
IMSUML12,Imo,Isiala Mbano,Osu-Owerre 1,IM-09-05,0.917,fuzzy,loaded
ANSNEN13,Anambra,Anaocha,Ichida 1,AN-05-13,0.875,needs_review,loaded
IMSETU12,Imo,Ezinihitte,Onicha 1,IM-04-04,0.744,needs_review,skipped_low_confidence
ABSNGK02,Abia,Obi Nwga,Abayi 1,AB-09-01,0.857,needs_review,loaded
50603,Kebbi,Birnin Kebbi,Gwadangwaji,KE-06-08,0.952,fuzzy,loaded
ANSJJT05,Anambra,Idemili South,Nnobi 1,AN-11-06,0.857,needs_review,loaded
ANSNNE03,Anambra,Nnewi North,Otolo 1,AN-14-03,0.857,needs_review,loaded
ABSEZA06,Abia,Aba North,Ogbor 1,AB-01-10,0.857,needs_review,loaded
IMSNSA12,Imo,Njaba,Umuaka 1,IM-13-08,0.875,needs_review,loaded
IMSMGD01,Imo,Oru East,Akata 1,IM-23-09,0.833,needs_review,loaded
ANSAGU18,Anambra,Aguata,Umuchu 1,AN-01-18,0.875,needs_review,loaded
ANSNEN07,Anambra,Anaocha,Agulu 1,AN-05-07,0.857,needs_review,loaded
OYSOGN04,Oyo,Ogbomosho North,Isale Afon,OY-21-04,0.966,lga_fuzzy_exact_ward,loaded
ANSAGU01,Anambra,Aguata,Achina 1,AN-01-01,0.875,needs_review,loaded
ANSGDD05,Anambra,Idemili North,Nkpor Agu 1,,0.667,no_ward,skipped_no_match
ABSABA13,Abia,Aba South,Ngwa 1 / 2,,0.667,no_ward,skipped_no_match
ANSNEN05,Anambra,Anaocha,Adazi Enu 1,AN-05-03,0.909,fuzzy,loaded
ANSUKP02,Anambra,Nnewi South,Amichi 1,AN-15-02,0.875,needs_review,loaded
IMSAMG01,Imo,Nwangele,Abajah 1,IM-15-10,0.875,needs_review,loaded
IMSNWA09,Imo,Mbatoli,Ogwa 1,IM-11-06,0.778,needs_review,skipped_low_confidence
IMSWER01,Imo,Owerri Municipal,Aladinma 1,IM-25-01,0.900,fuzzy,loaded
CRSDUK08,Cross River,Odukpani,Odot,CR-15-09,1.000,exact,loaded
ANSAGU10,Anambra,Aguata,Igbokwu 1,AN-01-10,0.800,needs_review,loaded
ANSFGG04,Anambra,Onitsha South,Fegge 1,AN-18-04,0.857,needs_review,loaded
ANSFGG11,Anambra,Onitsha South,Odoakpu 1,AN-18-11,0.889,needs_review,loaded
IMSWER10,Imo,Owerri Municipal,Ikenegbu 1,IM-25-03,0.900,fuzzy,loaded
ABSUMA02,Abia,Umuahia North,Afugiri 1,AB-15-10,0.875,needs_review,loaded
IMSKED06,Imo,Ikeduru,Atta 1,IM-08-08,0.833,needs_review,loaded
IMSWER03,Imo,Owerri Municipal,Azuzi 1,IM-25-05,0.857,needs_review,loaded
ABSEZA09,Abia,Aba North,Osusu 1,AB-01-03,0.857,needs_review,loaded
ANSAJL07,Anambra,Orumba North,Nanka 1,AN-19-08,0.857,needs_review,loaded
ABSKPU14,Abia,Isiala-Ngwa North,Ngwaukwu 1 / Abayi / Amaorji,,0.611,no_ward,skipped_no_match
IMSNGB05,Imo,Oru West,Mgbidi 1 and 2,,0.636,no_ward,skipped_no_match
IMSAFR08,Imo,Ahiazu-Mbaise,Ogbe 1,IM-02-01,0.800,needs_review,loaded
IMSNSA05,Imo,Njaba,Atta 1,IM-13-01,0.833,needs_review,loaded
ANSUKP13,Anambra,Nnewi South,Ukpor 1,AN-15-13,0.857,needs_review,loaded
ANSJJT04,Anambra,Idemili South,Awka Etity 1,AN-11-04,0.833,needs_review,loaded
ANSGDD10,Anambra,Idemili North,Ogidi 1,AN-10-08,0.857,needs_review,loaded
ANSNNE08,Anambra,Nnewi North,Uruagu 1,AN-14-08,0.875,needs_review,loaded
ANSNNE01,Anambra,Nnewi North,Nnewichi 1,AN-14-01,0.818,needs_review,loaded
OYSOGN05,Oyo,Ogbomosho North,Jagun,OY-21-07,0.966,lga_fuzzy_exact_ward,loaded
ANSJJT09,Anambra,Idemili South,Oba 1,AN-11-10,0.800,needs_review,loaded
ENSUWN04,Enugu,Enugu South,Achara 1,,0.538,no_ward,skipped_no_match
LASIKA06,Lagos,Ikeja,G R A,,0.444,no_ward,skipped_no_match
ABSEZA11,Abia,Aba North,St Eugene,,0.562,no_ward,skipped_no_match
OSSILA02,Osun,Ila,Eyindi,OS-17-07,1.000,exact,loaded
12406,Borno,Maiduguri,Hausari,,0.595,no_ward,skipped_no_match
12404,Borno,Maiduguri,Fezzan,BO-21-04,0.850,lga_fuzzy_exact_ward,loaded
OSSBOLUW07,Osun,Boluwaduro,Oke Ode,,0.737,no_ward,skipped_no_match
OYSOSO04,Oyo,Olorunsogo,Agoro,,0.300,no_ward,skipped_no_match
EBSAFK33,Ebonyi,Afikpo North,Ohaisu B,,0.696,no_ward,skipped_no_match
OYSONA09,Oyo,Ona Ara,Olorunsogo,OY-26-09,1.000,exact,loaded
OYSSWT01,Oyo,Saki West,Adabo,,0.353,no_ward,skipped_no_match
OYSOGN01,Oyo,Ogbomosho North,Aaje / Ogunbado,OY-21-02,0.966,lga_fuzzy_exact_ward,loaded
